fold_id,stage,num_query,num_gallery,R@1,R@5,R@10,mAP,elapsed_ms
0,Ablation-RGB,5400,5400,80.38889169692993,94.62962746620178,97.20370173454285,40.33809106403755,838.5
0,Ablation-PBMean,5400,5400,86.50000095367432,97.31481671333313,98.61111044883728,46.3033941567496,3602.0
0,Ablation-Affinity,5400,5400,86.70370578765869,97.29629755020142,98.61111044883728,46.43875016037512,587.2
0,Ablation-Fiedler,5400,5400,84.50000286102295,96.20370268821716,98.09259176254272,44.5423821715845,3057.0
0,Ablation-Full,5400,5400,84.57407355308533,96.29629850387573,98.16666841506958,45.04050741468867,22745.4
1,Ablation-RGB,5400,5400,80.16666769981384,95.72222232818604,97.98148274421692,40.30641501148542,754.9
1,Ablation-PBMean,5400,5400,86.01852059364319,97.29629755020142,98.83333444595337,46.18575718578089,2080.1
1,Ablation-Affinity,5400,5400,86.44444346427917,97.18518257141113,98.85185360908508,46.36797847681575,577.0
1,Ablation-Fiedler,5400,5400,85.20370125770569,96.37036919593811,98.07407259941101,44.34667693664906,2255.2
1,Ablation-Full,5400,5400,85.50000190734863,96.42592668533325,98.03703427314758,44.84742761803446,16089.2
2,Ablation-RGB,5400,5400,79.3333351612091,94.53703761100769,97.79629707336426,39.92708057799825,707.3
2,Ablation-PBMean,5400,5400,86.09259128570557,97.1666693687439,98.55555295944214,46.15198260821678,1727.5
2,Ablation-Affinity,5400,5400,86.27777695655823,97.24074006080627,98.55555295944214,46.3151879703833,566.9
2,Ablation-Fiedler,5400,5400,85.29629707336426,96.37036919593811,98.2962965965271,44.25716557305444,2139.1
2,Ablation-Full,5400,5400,85.4629635810852,96.51851654052734,98.48148226737976,44.74788427532271,15219.9
3,Ablation-RGB,5400,5400,80.07407188415527,94.75926160812378,97.22222089767456,40.60740230922345,777.5
3,Ablation-PBMean,5400,5400,86.55555844306946,96.98148369789124,98.57407212257385,46.56179571372491,1460.0
3,Ablation-Affinity,5400,5400,86.64814829826355,97.00000286102295,98.66666793823242,46.702465598781906,560.5
3,Ablation-Fiedler,5400,5400,84.0925931930542,96.11111283302307,97.90740609169006,44.43541973367057,2135.3
3,Ablation-Full,5400,5400,84.14815068244934,96.14814519882202,97.98148274421692,44.930552538484335,14978.9
4,Ablation-RGB,5400,5400,81.24074339866638,95.07407546043396,97.88888692855835,40.71328861914851,716.6
4,Ablation-PBMean,5400,5400,86.50000095367432,97.3703682422638,98.68518710136414,46.84641456210778,1619.1
4,Ablation-Affinity,5400,5400,86.62962913513184,97.33333587646484,98.68518710136414,46.998074851240276,573.0
4,Ablation-Fiedler,5400,5400,85.57407259941101,96.55555486679077,98.27777743339539,45.01288204605657,2166.4
4,Ablation-Full,5400,5400,85.40740609169006,96.79629802703857,98.38888645172119,45.53100367055999,15519.0
