reference_method,compared_method,metric,n_pairs,t_stat,p_value,significant_p_lt_0_05
Ours,RGB-CLIP,R@1,5,10.845874783904577,0.00041008348260733175,True
Ours,RGB-CLIP,R@10,5,4.098853267547367,0.014866978858104828,True
Ours,RGB-CLIP,R@5,5,7.3699604872463045,0.0018062642323079866,True
Ours,RGB-CLIP,mAP,5,50.254795150079325,9.382005569239735e-07,True
Ours,PCA,R@1,5,6.374366804912648,0.0031067539926293046,True
Ours,PCA,R@10,5,-0.6469150262457931,0.5529371616394513,False
Ours,PCA,R@5,5,0.9082409819651862,0.4151226653729517,False
Ours,PCA,mAP,5,22.455107925925617,2.3290047951989932e-05,True
Ours,NDVI,R@1,5,3.9592774112518425,0.016687741111917096,True
Ours,NDVI,R@10,5,0.08121380565590348,0.9391731980495893,False
Ours,NDVI,R@5,5,1.199310297575614,0.29659129921019933,False
Ours,NDVI,mAP,5,-3.5812145304886913,0.0231425623041569,True
Ours,Tip-Adapter,R@1,5,77.23591772294857,1.6841811877896747e-07,True
Ours,Tip-Adapter,R@10,5,28.39956429143215,9.147938785316107e-06,True
Ours,Tip-Adapter,R@5,5,46.72260323453813,1.2552146310364274e-06,True
Ours,Tip-Adapter,mAP,5,78.84499034048015,1.5509194244066322e-07,True
Ours,RS-TransCLIP,R@1,5,13.82837294224463,0.00015851696854788766,True
Ours,RS-TransCLIP,R@10,5,13.007544539147545,0.0002015806308433118,True
Ours,RS-TransCLIP,R@5,5,16.97360018029395,7.064348546521974e-05,True
Ours,RS-TransCLIP,mAP,5,20.710821343866556,3.211012697538577e-05,True
