param_name,param_value,R@1,R@5,R@10,mAP,elapsed_ms
sigma,0.1,84.35184955596924,96.14814519882202,98.09259176254272,45.345811057490884,19388.0
sigma,0.3,84.4259262084961,96.12963199615479,98.11111092567444,45.05100609782946,18545.1
sigma,0.5,84.48148369789124,96.29629850387573,98.03703427314758,45.01956365740409,18199.2
sigma,0.7,84.40740704536438,96.40740752220154,98.09259176254272,44.99982312087107,18004.0
sigma,1.0,84.31481719017029,96.38888835906982,98.09259176254272,44.98824047731856,17469.6
tau,0.05,81.20370507240295,95.37037014961243,97.3703682422638,38.21914157899165,17277.2
tau,0.1,83.44444632530212,95.77777981758118,97.81481623649597,41.170066566585945,17760.6
tau,0.2,83.92592668533325,96.12963199615479,97.92592525482178,43.12172439328774,16599.5
tau,0.5,84.07407402992249,96.24074101448059,98.0555534362793,44.634953736982965,17858.6
lambda_m,0.01,84.48148369789124,96.29629850387573,98.03703427314758,45.019530572825005,17196.1
lambda_m,0.05,84.48148369789124,96.29629850387573,98.03703427314758,45.019561621877884,17167.0
lambda_m,0.1,84.48148369789124,96.29629850387573,98.03703427314758,45.01956365740409,17144.5
lambda_m,0.2,84.48148369789124,96.29629850387573,98.03703427314758,45.01957275904715,16080.7
k,3,84.38888788223267,96.33333086967468,98.01852107048035,45.00767633656937,10474.8
k,5,84.48148369789124,96.29629850387573,98.03703427314758,45.01956365740409,16906.1
k,7,84.4259262084961,96.2592601776123,98.0555534362793,45.024960419232094,17603.9
k,10,84.4259262084961,96.29629850387573,98.09259176254272,45.01087007202484,19289.6
num_steps,1,84.35184955596924,96.09259366989136,98.01852107048035,44.62565020768455,5469.9
num_steps,3,84.33333039283752,96.31481766700745,98.07407259941101,44.8282473159747,11227.0
num_steps,5,84.48148369789124,96.29629850387573,98.03703427314758,45.01956365740409,16931.5
num_steps,7,84.44444537162781,96.37036919593811,98.22221994400024,45.200214200066746,23430.0
num_steps,10,84.57407355308533,96.38888835906982,98.20370078086853,45.4496095592363,31601.1
lr,0.005,84.33333039283752,96.2592601776123,98.0555534362793,44.77884749702557,17177.1
lr,0.01,84.48148369789124,96.29629850387573,98.03703427314758,45.01956365740409,17350.2
lr,0.02,84.64815020561218,96.42592668533325,98.20370078086853,45.44775613597422,17308.7
lr,0.05,84.83333587646484,96.4814841747284,98.1851875782013,46.18648899043048,17273.6
